ID,post_id,author_handle,author_name,text,date_posted,language
160,3lcyskaglas2k,coteau.bsky.social,Michael Coteau,"Mike Harris’s cuts to social services, housing, and healthcare pushed Ontario’s most vulnerable deeper into crisis. Pierre Poilievre is singing the same tune: tax cuts for the rich, austerity for the rest. We can’t afford another era of cruel, short-sighted policies. #cdnpoli",2024-12-11,English
162,3lcvd5dfpbk2b,coteau.bsky.social,Michael Coteau,"While knocking on doors this weekend, I heard one clear message: people value programs and services that invest in them and their loved ones. They do NOT support Conservative cuts that undermine progress. Together, let’s keep building a stronger, more caring nation. 💪 #cdnpoli",2024-12-09,English
497,3lcpxs4qcss2g,turnbullwhitby.bsky.social,Ryan Turnbull 🇨🇦,"I had a busy day in the House on Friday highlighting the hypocrisy of the Poilievre Conservatives. 

When will the Opposition Leader allow his MPs vote to support Canadians? 

#PierreDoesntCare #cdnpoli #HillHypocrisy #Affordability",2024-12-07,English
415,3ldj2njop2k2f,marcmillermp.bsky.social,Marc Miller ᐅᑭᒫᐃᐧᐅᓃᐸᐄᐧᐤᐃᔨᐣ,Migration Curb Tanks Canada Population Growth to 2-Year Low - Bloomberg,2024-12-17,English
282,3lddz7o2x2k27,kenhardie.bsky.social,Ken Hardie,I'd really like to see the platforms change their algorithms to show you opposing views of the web item you just read or watched. This online 'bubble' we create for ourselves + the media's abandonment of news in favour of opinion = a culture where we simply don't listen to or respect differences.,2024-12-15,English
400,3ldqwmktsds2c,heathermcpherson.bsky.social,Heather McPherson MP,Happy Holidays to all!,2024-12-20,English
420,3ldc4kusnvk2s,taleeb.bsky.social,Taleeb Noormohamed,The GST holiday starts today in time for one of the busiest shopping weekends of the year - and lots of items on your list may be GST free!,2024-12-14,English
512,3ld4xy32oms26,rechievaldez.bsky.social,Rechie Valdez,"Hier soir, je me suis réunie avec mes collègues pour célébrer Noël et son importance pour les chrétiens au Canada et dans le monde entier. J’ai eu l’occasion de partager ma foi et de réfléchir à l’espoir, à l’amour et à la générosité que représente Noël.",2024-12-12,French
476,3ldebckcmlc2p,pascalestonge.bsky.social,Pascale St-Onge,"For two months, we’ve removed the GST on: 

🥪 Prepared foods and snacks
🍝 Restaurant & take-out meals
🧸 Toys
👟 Children’s clothes
👩‍🍼 Car seats & diapers
💵 And more!

We know you work hard, and the last few years have been difficult. That’s why we’re giving you a real break.",2024-12-15,English
176,3ldoak3bgss24,donvdavies.bsky.social,Don Davies,"US billionaires are publicly praising Poilievre. 
Leaving aside the foreign interference, this speaks volumes about whose interests the Conservatives will serve.",2024-12-19,English
312,3ldmhz57bsk2y,mpjulian.bsky.social,Peter Julian 🇨🇦,"Rest in Peace, Captain Dave Phillips (New Westminster Firefighters IAFF Local 256). You made the ultimate sacrifice to protect our community. We will forever be grateful for your unwavering dedication and service to the residents of New Westminster.",2024-12-18,English
253,3ld75uh6azc2o,markgerretsen.bsky.social,Mark Gerretsen,"Just in time for the holiday season! 🎄
Parents, check your bank accounts—you’ve received the Canada Child Benefit today!

We’ll keep working to ensure families across Canada have the support they need. 💪

#Benefits #CommunitySupport #KingstonAndTheIslands",2024-12-13,English
276,3ld2a7z76f22f,stevenguilbeault.bsky.social,Steven Guilbeault,"Notre plan fonctionne !

Alors que la Banque du Canada poursuit son travail indépendant pour maintenir l'inflation au plus bas niveau possible, notre gouvernement fait sa part pour la soutenir en créant les conditions économiques dont les Canadiennes et Canadiens ont besoin.",2024-12-11,French
62,3ld5gzb6dl22w,charlieangus104.bsky.social,Charlie Angus,"It is turning into a shitty Christmas for our hardworking postal workers dealing with the CEOs at Canada Post. 
It is a shitty Christmas for small businesses and people who rely on our posties to deliver the mail. My team have been out on the lines. Let's get a deal done. 
@cupwsttp.bsky.social",2024-12-12,English
507,3ldbhsnjdwk2r,rechievaldez.bsky.social,Rechie Valdez,"À partir d’aujourd’hui, les Canadiens profiteront d’un congé de taxe sur tous les items essentiels de la période des Fêtes jusqu’au 15 février. Cette mesure remettra plus d’argent dans vos poches pour le dépenser là où cela compte le plus.",2024-12-14,French
332,3lcxzbxdksk2u,mpjulian.bsky.social,Peter Julian 🇨🇦,"Conservatives tried to sabotage #NDP Dental Care, #NDP Pharmacare & #NDP Affordable Housing and failed. But Conservatives finally succeeded in sabotaging…their own motion and opposition day!",2024-12-10,English
182,3lcqqgmuixk2k,donvdavies.bsky.social,Don Davies,"Conservatives love to tell Canadians how good they are at managing spending. 
The facts, as Doug Ford and Danielle Smith prove almost daily, tell a much different story. Truth: Conservatives rack up deficits and debt 👇

www.nationalobserver.com/2024/12/06/o...",2024-12-07,English
347,3ld2pfozikk2t,kamalkheralib.bsky.social,Kamal Khera,"Great news! 

Interest rates have been cut for the fifth time! 

This interest rate cut, plus our two month HST/GST tax break that begins this Saturday, means more savings for families in #BramptonWest and right across the country!",2024-12-11,English
88,3lcteabbees27,charlieangus104.bsky.social,Charlie Angus,"MAGA morons claim they will make Canada the 51st state. 
As if.
Canadians aren't deterred by anything.",2024-12-08,English
120,3lcvham45tc2c,chrisbittle.bsky.social,Chris Bittle,"Carlos Garcia was a fierce advocate for the residents of Port Dalhousie, always ensuring that their interests were put first. 

He was hard working and passionate about St Catharines and our heritage. He was always working to make our City a better place.",2024-12-09,English
