honorific_title,first_name,last_name,gender,username,profile_URL,account_status,political_affiliation,constituency,province_territory
,Caroline,Desbiens,Woman,carolinebq.bsky.social,https://bsky.app/profile/carolinebq.bsky.social,Active,Bloc Québécois,Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix,Quebec
,Luc,Desilets,Man,,,,Bloc Québécois,Rivière-des-Mille-Îles,Quebec
,Blake,Desjarlais,Man,blakedesjarlais.bsky.social,https://bsky.app/profile/blakedesjarlais.bsky.social,Active,NDP,Edmonton Griesbach,Alberta
,Sukh,Dhaliwal,Man,,,,Liberal,Surrey—Newton,British Columbia
,Anju,Dhillon,Woman,,,,Liberal,Dorval—Lachine—LaSalle,Quebec
,Lena Metlege,Diab,Woman,,,,Liberal,Halifax West,Nova Scotia
,Todd,Doherty,Man,,,,Conservative,Cariboo—Prince George,British Columbia
,Han,Dong,Man,,,,Independent,Don Valley North,Ontario
,Terry,Dowdall,Man,,,,Conservative,Simcoe—Grey,Ontario
,Earl,Dreeshen,Man,,,,Conservative,Red Deer—Mountain View,Alberta
,Francis,Drouin,Man,,,,Liberal,Glengarry—Prescott—Russell,Ontario
,Emmanuel,Dubourg,Man,,,,Liberal,Bourassa,Quebec
Hon.,Jean-Yves,Duclos,Man,jyduclos.bsky.social,https://bsky.app/profile/jyduclos.bsky.social,Active,Liberal,Québec,Quebec
Hon.,Terry,Duguid,Man,,,,Liberal,Winnipeg South,Manitoba
,Eric,Duncan,Man,,,,Conservative,Stormont—Dundas—South Glengarry,Ontario
Hon.,Kirsty,Duncan,Woman,,,,Liberal,Etobicoke North,Ontario
,Julie,Dzerowicz,Woman,juliedzerowicz.bsky.social,https://bsky.app/profile/juliedzerowicz.bsky.social,Inactive,Liberal,Davenport,Ontario
,Ali,Ehsassi,Man,,,,Liberal,Willowdale,Ontario
,Fayçal,El-Khoury,Man,,,,Liberal,Laval—Les Îles,Quebec
,Stephen,Ellis,Man,,,,Conservative,Cumberland—Colchester,Nova Scotia
,Dave,Epp,Man,,,,Conservative,Chatham-Kent—Leamington,Ontario
Hon.,Nathaniel,Erskine-Smith,Man,beynate.bsky.social,https://bsky.app/profile/beynate.bsky.social,Active,Liberal,Beaches—East York,Ontario
,Rosemarie,Falk,Woman,,,,Conservative,Battlefords—Lloydminster,Saskatchewan
,Ted,Falk,Man,,,,Conservative,Provencher,Manitoba
Hon.,Ed,Fast,Man,,,,Conservative,Abbotsford,British Columbia
Hon.,Greg,Fergus,Man,gregfergus.bsky.social,https://bsky.app/profile/gregfergus.bsky.social,Inactive,Liberal,Hull—Aylmer,Quebec
,Michelle,Ferreri,Woman,,,,Conservative,Peterborough—Kawartha,Ontario
Hon.,Kerry-Lynne,Findlay,Woman,,,,Conservative,South Surrey—White Rock,British Columbia
Hon.,Darren,Fisher,Man,darrenfisherns.bsky.social,https://bsky.app/profile/darrenfisherns.bsky.social,Active,Liberal,Dartmouth—Cole Harbour,Nova Scotia
,Peter,Fonseca,Man,,,,Liberal,Mississauga East—Cooksville,Ontario
Hon.,Mona,Fortier,Woman,monafortier.bsky.social,https://bsky.app/profile/monafortier.bsky.social,Inactive,Liberal,Ottawa—Vanier,Ontario
,Rhéal Éloi,Fortin,Man,rhealfortin.bsky.social,https://bsky.app/profile/rhealfortin.bsky.social,Inactive,Bloc Québécois,Rivière-du-Nord,Quebec
,Peter,Fragiskatos,Man,,,,Liberal,London North Centre,Ontario
Hon.,Sean,Fraser,Man,seanfraser.bsky.social,https://bsky.app/profile/seanfraser.bsky.social,Inactive,Liberal,Central Nova,Nova Scotia
Hon.,Chrystia,Freeland,Woman,chrystia-freeland.bsky.social,https://bsky.app/profile/chrystia-freeland.bsky.social,Active,Liberal,University—Rosedale,Ontario
Hon.,Hedy,Fry,Woman,hedyfry.bsky.social,https://bsky.app/profile/hedyfry.bsky.social,Inactive,Liberal,Vancouver Centre,British Columbia
,Iqwinder,Gaheer,Man,,,,Liberal,Mississauga—Malton,Ontario
,Anna,Gainey,Woman,annamgainey.bsky.social,https://bsky.app/profile/annamgainey.bsky.social,Active,Liberal,Notre-Dame-de-Grâce—Westmount,Quebec
,Cheryl,Gallant,Woman,,,,Conservative,Renfrew—Nipissing—Pembroke,Ontario
,Jean-Denis,Garon,Man,,,,Bloc Québécois,Mirabel,Quebec
,Randall,Garrison,Man,,,,NDP,Esquimalt—Saanich—Sooke,British Columbia
