honorific_title,name,constituency,province_territory,political_affiliation,username,profile_URL,verified
,Corey Hogan,Calgary Confederation,Alberta,Liberal,coreyhogan.ca,https://bsky.app/profile/coreyhogan.ca,No
Hon.,Ahmed Hussen,York South‚ÄîWeston‚ÄîEtobicoke,Ontario,Liberal,honahmedhussen.bsky.social,https://bsky.app/profile/honahmedhussen.bsky.social,No
,Angelo Iacono,Alfred-Pellan,Quebec,Liberal,aiaconomp.bsky.social,https://bsky.app/profile/aiaconomp.bsky.social,No
,Lori Idlout,Nunavut,Nunavut,NDP,loriidlout.bsky.social,https://bsky.app/profile/loriidlout.bsky.social,No
,Matt Jeneroux,Edmonton Riverbend,Alberta,Liberal,mattjeneroux.bsky.social,https://bsky.app/profile/mattjeneroux.bsky.social,No
,Gord Johns,Courtenay‚ÄîAlberni,British Columbia,NDP,gordjohns.bsky.social,https://bsky.app/profile/gordjohns.bsky.social,No
Hon.,Mélanie Joly,Ahuntsic-Cartierville,Quebec,Liberal,melaniejolycan.bsky.social,https://bsky.app/profile/melaniejolycan.bsky.social,No
Hon.,Arielle Kayabaga,London West,Ontario,Liberal,kayabagaarielle.bsky.social,https://bsky.app/profile/kayabagaarielle.bsky.social,No
,Iqra Khalid,Mississauga‚ÄîErin Mills,Ontario,Liberal,iqrakhalidmp.bsky.social,https://bsky.app/profile/iqrakhalidmp.bsky.social,No
,Ernie Klassen,South Surrey‚ÄîWhite Rock,British Columbia,Liberal,ernieklassen-mp.bsky.social,https://bsky.app/profile/ernieklassen-mp.bsky.social,No
,Jenny Kwan,Vancouver East,British Columbia,NDP,jennykwan.bsky.social,https://bsky.app/profile/jennykwan.bsky.social,No
,Marie-France Lalonde,Orl√©ans,Ontario,Liberal,mflalonde.bsky.social,https://bsky.app/profile/mflalonde.bsky.social,No
,Viviane Lapointe,Sudbury,Ontario,Liberal,vivianelapointe.bsky.social,https://bsky.app/profile/vivianelapointe.bsky.social,No
,Andréanne Larouche,Shefford,Quebec,Bloc Qu√©b√©cois,andreannelarouche.bsky.social,https://bsky.app/profile/andreannelarouche.bsky.social,No
Hon.,Dominic LeBlanc,Beaus√©jour,New Brunswick,Liberal,dleblancnb.bsky.social,https://bsky.app/profile/dleblancnb.bsky.social,No
,Sébastien Lemire,Abitibi-Témiscamingue,Quebec,Bloc Qu√©b√©cois,seblemire.bsky.social,https://bsky.app/profile/seblemire.bsky.social,No
Hon.,Joël Lightbound,Louis-H√©bert,Quebec,Liberal,joellightbound.bsky.social,https://bsky.app/profile/joellightbound.bsky.social,No
Hon.,Wayne Long,Saint John‚ÄîKennebecasis,New Brunswick,Liberal,waynelongsj.bsky.social,https://bsky.app/profile/waynelongsj.bsky.social,No
,Tim Louis,Kitchener‚ÄîConestoga,Ontario,Liberal,timlouiskitcon.bsky.social,https://bsky.app/profile/timlouiskitcon.bsky.social,No
Hon.,Steven MacKinnon,Gatineau,Quebec,Liberal,stevenmackinnon.bsky.social,https://bsky.app/profile/stevenmackinnon.bsky.social,No
,James Maloney,Etobicoke‚ÄîLakeshore,Ontario,Liberal,maloneyj.bsky.social,https://bsky.app/profile/maloneyj.bsky.social,No
,Elizabeth May,Saanich‚ÄîGulf Islands,British Columbia,Green Party,elizabethemay.bsky.social,https://bsky.app/profile/elizabethemay.bsky.social,No
,Ron McKinnon,Coquitlam‚ÄîPort Coquitlam,British Columbia,Liberal,ronmckinnon.bsky.social,https://bsky.app/profile/ronmckinnon.bsky.social,No
Hon.,Jill McKnight,Delta,British Columbia,Liberal,jillmcknightdelta.bsky.social,https://bsky.app/profile/jillmcknightdelta.bsky.social,No
,Greg McLean,Calgary Centre,Alberta,Conservative,gregmcleanyyc.bsky.social,https://bsky.app/profile/gregmcleanyyc.bsky.social,No
Hon.,Stephanie McLean,Esquimalt‚ÄîSaanich‚ÄîSooke,British Columbia,Liberal,stephaniemclean.bsky.social,https://bsky.app/profile/stephaniemclean.bsky.social,No
,Heather McPherson,Edmonton Strathcona,Alberta,NDP,heathermcpherson.bsky.social,https://bsky.app/profile/heathermcpherson.bsky.social,No
,Marie-Gabrielle M√©nard,Hochelaga‚ÄîRosemont-Est,Quebec,Liberal,mgmenard.bsky.social,https://bsky.app/profile/mgmenard.bsky.social,No
,Alexandra Mend√®s,Brossard‚ÄîSaint-Lambert,Quebec,Liberal,alexandramendes.bsky.social,https://bsky.app/profile/alexandramendes.bsky.social,No
,Costas Menegakis,Aurora‚ÄîOak Ridges‚ÄîRichmond Hill,Ontario,Conservative,costasmenegakis.bsky.social,https://bsky.app/profile/costasmenegakis.bsky.social,No
Hon.,Marc Miller,Ville-Marie‚ÄîLe Sud-Ouest‚Äî√éle-des-Soeurs,Quebec,Liberal,marcmillermp.bsky.social,https://bsky.app/profile/marcmillermp.bsky.social,No
,Giovanna Mingarelli,Prescott‚ÄîRussell‚ÄîCumberland,Ontario,Liberal,giovannamprc.bsky.social,https://bsky.app/profile/giovannamprc.bsky.social,No
,Yasir Naqvi,Ottawa Centre,Ontario,Liberal,yasirnaqvicdn.bsky.social,https://bsky.app/profile/yasirnaqvicdn.bsky.social,No
,Chi Nguyen,Spadina‚ÄîHarbourfront,Ontario,Liberal,runchinguyenrun.bsky.social,https://bsky.app/profile/runchinguyenrun.bsky.social,No
,Taleeb Noormohamed,Vancouver Granville,British Columbia,Liberal,taleeb.bsky.social,https://bsky.app/profile/taleeb.bsky.social,No
