honorific_title,name,constituency,province_territory,political_affiliation,gender,username,profile_URL,verified
NA,Brendan Hanley,Yukon,Yukon,Liberal,Man,drbrendanhanley.bsky.social,https://bsky.app/profile/drbrendanhanley.bsky.social,No
NA,Emma Harrison,Peterborough,Ontario,Liberal,Woman,emmaharrisonptbo.bsky.social,https://bsky.app/profile/emmaharrisonptbo.bsky.social,No
NA,Lisa Hepfner,Hamilton Mountain,Ontario,Liberal,Woman,lisahepfner.bsky.social,https://bsky.app/profile/lisahepfner.bsky.social,No
NA,Corey Hogan,Calgary Confederation,Alberta,Liberal,Man,coreyhogan.ca,https://bsky.app/profile/coreyhogan.ca,No
Hon.,Ahmed Hussen,York South—Weston—Etobicoke,Ontario,Liberal,Man,honahmedhussen.bsky.social,https://bsky.app/profile/honahmedhussen.bsky.social,No
NA,Angelo Iacono,Alfred-Pellan,Quebec,Liberal,Man,aiaconomp.bsky.social,https://bsky.app/profile/aiaconomp.bsky.social,No
NA,Lori Idlout,Nunavut,Nunavut,NDP,Woman,loriidlout.bsky.social,https://bsky.app/profile/loriidlout.bsky.social,No
NA,Matt Jeneroux,Edmonton Riverbend,Alberta,Conservative,Man,mattjeneroux.bsky.social,https://bsky.app/profile/mattjeneroux.bsky.social,No
NA,Gord Johns,Courtenay—Alberni,British Columbia,NDP,Man,gordjohns.bsky.social,https://bsky.app/profile/gordjohns.bsky.social,No
Hon.,Mélanie Joly,Ahuntsic-Cartierville,Quebec,Liberal,Woman,melaniejolycan.bsky.social,https://bsky.app/profile/melaniejolycan.bsky.social,No
Hon.,Arielle Kayabaga,London West,Ontario,Liberal,Woman,kayabagaarielle.bsky.social,https://bsky.app/profile/kayabagaarielle.bsky.social,No
NA,Iqra Khalid,Mississauga—Erin Mills,Ontario,Liberal,Woman,iqrakhalidmp.bsky.social,https://bsky.app/profile/iqrakhalidmp.bsky.social,No
NA,Ernie Klassen,South Surrey—White Rock,British Columbia,Liberal,Man,ernieklassen-mp.bsky.social,https://bsky.app/profile/ernieklassen-mp.bsky.social,No
NA,Jenny Kwan,Vancouver East,British Columbia,NDP,Woman,jennykwan.bsky.social,https://bsky.app/profile/jennykwan.bsky.social,No
NA,Marie-France Lalonde,Orléans,Ontario,Liberal,Woman,mflalonde.bsky.social,https://bsky.app/profile/mflalonde.bsky.social,No
NA,Viviane Lapointe,Sudbury,Ontario,Liberal,Woman,vivianelapointe.bsky.social,https://bsky.app/profile/vivianelapointe.bsky.social,No
NA,Andréanne Larouche,Shefford,Quebec,Bloc Québécois,Woman,andreannelarouche.bsky.social,https://bsky.app/profile/andreannelarouche.bsky.social,No
